??,???????,?????,???????,???????,?????????,?????????,?????,?????????,???????,??????,????,???????,???????,?????,??????,???????,???????,?????,?????,???????,??101???,??????,?????,?????,??,??????,???????,????,????,???,????????,?????,??1914????????,???????,??????,?????,?????,??????????,??????,???????,?????????,??????,?????,?????
01/01/2016,447514,45301,129154,31337,396445,38245,231720,28075,549706,170784,26250,600493,63087,216214,8099,13385,48000,1833,27213,40746,211159,27626,44850,12962,45968,57320,3040,385947,7664,16660,4185,135353,277179,39700,421188,95902,0,0,0,0,0,0,0,0
02/01/2016,466023,45712,126586,25507,461999,33048,401490,28519,471459,342850,663367,699497,100736,371011,6556,13400,36411,2154,10264,39004,248568,31290,46852,7713,50311,210442,3200,665215,10203,22217,2887,219036,419039,37581,621854,99139,0,0,0,0,0,0,0,0
03/01/2016,462046,51530,149169,24986,144773,38076,212224,40994,533330,94350,691332,648097,80102,221805,9013,34345,35908,1969,19596,29662,262240,20154,44935,12987,39453,50022,3450,431161,12994,20108,4983,98073,267026,32609,422776,114645,0,0,0,0,0,0,0,0
04/01/2016,438172,89617,135099,25736,165456,43729,323488,44502,525131,108055,25200,604085,103492,200919,13059,72788,35548,2981,22922,29004,244584,19860,43850,15464,33907,88759,3380,487449,7249,22230,7372,171553,333608,36096,427276,136078,0,0,0,0,0,0,0,0
05/01/2016,423639,66482,137916,15524,194883,39019,230546,34482,515992,101365,30750,540800,116381,208159,11545,36921,33073,3501,20259,33325,236487,21989,39720,14398,29615,50780,3310,466880,2516,17119,5315,124359,100816,37939,565407,139438,0,0,0,0,0,0,0,0
06/01/2016,356769,58703,128630,14263,220186,30978,187452,27234,510542,87740,24750,511811,131813,173769,7943,13528,25054,2387,16434,30867,195902,23321,36700,12696,20677,44640,3105,467459,6760,14125,4005,121961,168824,39513,333760,105601,0,0,0,0,0,0,0,0
07/01/2016,411514,68457,131095,25831,328346,38298,223921,42535,543584,108775,15400,595274,154447,205794,8995,9645,32714,2717,20835,40281,217606,41367,32460,12723,22999,45006,3220,375328,7373,15340,5500,207688,540981,56268,357651,109477,0,0,0,0,0,0,0,0
08/01/2016,402433,60446,156675,28868,377741,40945,262136,46594,536210,102610,9540,610035,130277,189872,7835,5550,33584,3396,17698,45787,210655,33806,31235,12231,30185,34556,3510,252198,6714,15452,5480,226747,532993,60203,351173,123352,0,0,0,0,0,0,0,0
09/01/2016,243479,43701,136197,22243,158874,35209,201511,33750,470916,52800,4940,543699,81669,187750,7936,8617,25989,1929,7416,36861,155393,19681,32729,11520,29086,32667,3687,89609,5726,14767,3917,99871,347573,30650,297622,117312,0,0,0,0,0,0,0,0
10/01/2016,341266,58239,151967,20187,146112,39410,313289,32180,511332,59940,4750,564492,84074,225950,23500,34281,41738,2850,11952,51486,187740,24657,35361,14159,38268,43590,4200,175762,8678,17377,4966,148663,167679,57454,793623,128146,0,0,0,0,0,0,0,0
11/01/2016,329451,45008,122347,38086,177655,43319,310698,39500,467952,131575,6513,477708,81514,207089,15665,20894,42059,2555,13171,45180,199033,22289,34257,14183,37956,58224,4120,137729,11211,18992,6079,137031,197587,34996,424234,157243,0,0,0,0,0,0,0,0
12/01/2016,343419,48946,120945,58392,184440,50035,337589,41163,610518,616011,4883,557680,89122,231932,12897,24163,49833,2815,10164,52091,213490,31438,33583,13063,9830,61678,4243,236667,13412,23130,5563,188867,411342,32974,664525,148140,0,0,0,0,0,0,0,0
01/01/2017,334485,35235,100242,46235,187075,39348,344903,34722,493736,216828,8490,562680,81780,316700,7389,12480,36469,1946,14877,31988,195679,33754,43726,10989,0,169880,4200,274535,11848,18863,3183,206880,191930,33702,408654,118082,28559,45612,62250,8296,14361,2335,24210,0
02/01/2017,318772,41676,133249,54910,212926,39508,295856,41336,401676,208100,569737,535708,78068,306129,7239,13493,35987,2054,17444,38756,176848,28423,38315,10826,52015,102565,4580,381590,15176,20727,3790,221263,186945,35908,425363,116359,28879,41680,66262,6852,11355,2979,13805,0
03/01/2017,310789,29819,175605,24519,173452,45138,225943,51339,382513,209719,802012,373013,108875,235347,9575,15823,35242,1975,18729,36799,180159,17497,38207,14211,6643,41647,4534,206429,13750,25496,4191,129467,170226,30003,308035,120240,26832,39827,49137,9520,9596,3077,11897,0
04/01/2017,351929,48177,160725,39831,317900,50022,366508,54151,417041,231573,35988,355138,97612,213144,11728,15755,38886,2750,25005,56451,186344,20904,32636,13970,52785,104011,4323,219348,13661,52399,5756,226994,220270,41530,508125,125746,27105,38367,67741,12344,18933,2685,14508,79563
05/01/2017,369998,46748,165910,39125,313367,33078,263218,38541,386749,157575,26671,305886,96702,226170,11127,16674,31803,1936,22115,38868,175151,21539,38119,13388,36934,48691,4523,188578,3133,41967,4698,181771,172677,43427,576052,113066,25587,38834,76155,11192,11923,2922,12363,37794
06/01/2017,346043,44300,155400,43468,170077,13099,132481,30716,418381,124840,23895,291125,108691,0,7303,13309,24905,2006,24933,34482,150995,15953,33238,13445,24458,44115,4632,162041,2345,21802,5186,100985,97690,33677,369664,90542,12320,30002,68297,10928,18597,1809,0,20003
07/01/2017,424706,69949,138643,45240,417942,22399,199448,63541,416610,126797,17950,343171,185805,0,9172,14191,29117,2319,29650,37332,180536,25675,30922,15063,29033,42036,4782,155120,3549,27224,1877,211972,455140,56075,435726,91730,13706,28531,76225,11620,16677,2446,8796,29999
08/01/2017,431185,71639,142142,28157,395504,17432,217607,81772,479505,132630,15050,389121,175164,0,8268,15882,32176,2856,38664,41015,214955,26675,33256,15141,29952,39115,5231,191883,4996,26165,4996,242799,253507,58941,393006,63044,14300,31650,59217,13458,16491,3195,9677,23507
